,season,pday,count
634,1980,3,9
635,1980,4,9
636,1980,5,9
637,1980,6,9
638,1980,7,9
639,1980,8,9
640,1980,9,9
641,1980,10,9
642,1980,11,9
643,1980,12,9
644,1980,13,9
645,1980,14,9
646,1980,15,9
647,1980,16,9
648,1980,17,9
649,1980,18,9
650,1980,19,9
651,1980,20,9
652,1980,21,9
653,1980,22,9
654,1980,23,9
655,1980,24,9
656,1980,25,9
657,1980,26,9
658,1980,27,9
659,1980,28,9
660,1980,29,9
661,1980,30,9
662,1980,31,9
663,1980,32,9
664,1980,33,9
665,1980,34,9
666,1981,1,9
667,1981,2,9
668,1981,3,9
669,1981,4,9
670,1981,5,9
671,1981,6,9
672,1981,7,9
673,1981,8,9
674,1981,9,9
675,1981,10,9
676,1981,11,9
677,1981,12,9
678,1981,13,9
679,1981,14,9
680,1981,15,9
681,1981,16,9
682,1981,17,9
683,1981,18,9
684,1981,19,9
685,1981,20,9
686,1981,21,9
687,1981,22,9
688,1981,23,9
689,1981,24,9
690,1981,25,9
691,1981,26,9
692,1981,27,9
693,1981,28,9
694,1981,29,9
695,1981,30,9
696,1981,31,9
697,1981,32,9
698,1981,33,9
699,1981,34,9
700,1982,1,9
701,1982,2,9
702,1982,3,9
703,1982,4,9
704,1982,5,9
705,1982,6,9
706,1982,7,9
707,1982,8,9
708,1982,9,9
709,1982,10,9
710,1982,11,9
711,1982,12,9
712,1982,13,9
713,1982,14,9
714,1982,15,9
715,1982,16,9
716,1982,17,9
717,1982,18,9
718,1982,19,9
719,1982,20,9
720,1982,21,9
721,1982,22,9
722,1982,23,9
723,1982,24,9
724,1982,25,9
725,1982,26,9
726,1982,27,9
727,1982,28,9
728,1982,29,9
729,1982,30,9
730,1982,31,9
731,1982,32,9
732,1982,33,9
733,1982,34,9
734,1983,1,9
735,1983,2,9
736,1983,3,9
737,1983,4,9
738,1983,5,9
739,1983,6,9
740,1983,7,9
741,1983,8,9
742,1983,9,9
743,1983,10,9
744,1983,11,9
745,1983,12,9
746,1983,13,9
747,1983,14,9
748,1983,15,9
749,1983,16,9
750,1983,17,9
751,1983,18,9
752,1983,19,9
753,1983,20,9
754,1983,21,9
755,1983,22,9
756,1983,23,9
757,1983,24,9
758,1983,25,9
759,1983,26,9
760,1983,27,9
761,1983,28,9
762,1983,29,9
763,1983,30,9
764,1983,31,9
765,1983,32,9
766,1983,33,9
767,1983,34,9
768,1984,1,9
769,1984,2,9
770,1984,3,9
771,1984,4,9
772,1984,5,9
773,1984,6,9
774,1984,7,9
775,1984,8,9
776,1984,9,9
777,1984,10,9
778,1984,11,9
779,1984,12,9
780,1984,13,9
781,1984,14,9
782,1984,15,9
783,1984,16,9
784,1984,17,9
785,1984,18,9
786,1984,19,9
787,1984,20,9
788,1984,21,9
789,1984,22,9
790,1984,23,9
791,1984,24,9
792,1984,25,9
793,1984,26,9
794,1984,27,9
795,1984,28,9
796,1984,29,9
797,1984,30,9
798,1984,31,9
799,1984,32,9
800,1984,33,9
801,1984,34,9
802,1985,1,9
803,1985,2,9
804,1985,3,9
805,1985,4,9
806,1985,5,9
807,1985,6,9
808,1985,7,9
809,1985,8,9
810,1985,9,9
811,1985,10,9
812,1985,11,9
813,1985,12,9
814,1985,13,9
815,1985,14,9
816,1985,15,9
817,1985,16,9
818,1985,17,9
819,1985,18,9
820,1985,19,9
821,1985,20,9
822,1985,21,9
823,1985,22,9
824,1985,23,9
825,1985,24,9
826,1985,25,9
827,1985,26,9
828,1985,27,9
829,1985,28,9
830,1985,29,9
831,1985,30,9
832,1985,31,9
833,1985,32,9
834,1985,33,9
835,1985,34,9
836,1986,1,9
837,1986,2,9
838,1986,3,9
839,1986,4,9
840,1986,5,9
841,1986,6,9
842,1986,7,9
843,1986,8,9
844,1986,9,9
845,1986,10,9
846,1986,11,9
847,1986,12,9
848,1986,13,9
849,1986,14,9
850,1986,15,9
851,1986,16,9
852,1986,17,9
853,1986,18,9
854,1986,19,9
855,1986,20,9
856,1986,21,9
857,1986,22,9
858,1986,23,9
859,1986,24,9
